id,text,group,split,ai,low_quality
historical-fire-prevention,"It is estimated that the total annual losses of insured property by fire, throughout the world, average nearly two hundred million dollars. Add to this the annual destruction of uninsured property, and we should probably have a total amounting to quite double these figures. How great the loss, how severe the tax upon the productive industry of mankind, this enormous yearly destruction amounts to, will come home to the minds of most readers more directly if we call attention to the fact that it just about equals the value of our total wheat crop during a year of good yield. And it is a direct tax upon productive industry everywhere, because, although here and there a nominal loser, fully insured, has only made what is sometimes called ""a good sale"" to the companies holding his risk, this is only a way of apportioning the loss whereby the community at large become the sufferers.",fire-prevention,train,0,
generated-fire-prevention,"A fire inspection is most useful before anything catches fire. The obvious hazards matter, but the awkward spaces deserve equal attention: a damaged cable behind a cabinet, a blocked passage, or a heater pushed too close to stored packaging. Such details are easy to overlook during an ordinary working day. Prevention depends on making them somebody's explicit responsibility. Equipment alone is not enough. An extinguisher may be visible from the doorway yet unreachable once smoke fills the room. Workers need to know which exit to use, who will raise the alarm, and when to leave rather than attempt to fight the flames. A short practice exercise can expose problems that a checklist misses. None of this eliminates every source of ignition. It does, however, replace the comforting assumption that a building is safe with a routine that can actually be examined and improved.",fire-prevention,train,1,
historical-light,"If on opening a text book on geology one should find stated the view concerning the creation and age of the earth that was held a hundred years ago, and this view gravely put forward as a possible or alternative hypothesis with the current one deducible from the nebula theory, one would be excused for smiling while he turned to the title page to see who in the name of geology should write such stuff. Nevertheless this is precisely similar to what one will find in most treatises on physics for schools and colleges if he turns to the subject of light. For instance, I quote from a book edited by an eminent man of science in England, the book bearing the date 1873.",light,train,0,
generated-light,"Ask what light is, and the answer depends partly on what the question is trying to explain. A ray diagram helps someone position a lens. It says much less about the colored fringes around a narrow opening. Another description is needed there, and the change need not mean that the first diagram was useless. Scientific explanations earn their place by working within stated limits. Textbooks sometimes hide this practical relationship beneath a parade of theories, each apparently replacing an embarrassing predecessor. The resulting history looks tidier than the reasoning it is meant to teach. A more revealing lesson would begin with a stubborn observation and ask what a proposed account can predict. Where does it succeed? What would show that it fails? Light is a good subject for that exercise because familiar experiences, from a reflection in a window to a pattern cast through a slit, can lead to surprisingly different questions.",light,train,1,
historical-glass-fibers,"Quite recently a Pittsburg glass firm has succeeded, to a notable degree, in producing glass threads of sufficient fineness and elasticity to permit of their being woven into fabrics of novel character and quality. Their success is such as to warrant the assumption that garments of pure glass, glistening and imperishable, are among the possibilities of the near future. The spinning of glass threads of extreme fineness is not a new process, but, as carried on at present by the firm in question—Messrs. Atterbury & Co.—possesses considerable interest. From a quality of glass similar to that from which table ware is made, rods of glass averaging half an inch in diameter are drawn to any desired length and of various colors. These rods are then so placed that the flame of two gas burners is blown against that end of the rod pointed toward the large ""spinning"" wheel. The latter is 81/2 feet in diameter, and turns at the rate of 300 revolutions per minute.",glass-fibers,train,0,
generated-glass-fibers,"A drinking glass shatters when bent, yet a sufficiently thin strand of glass can flex. The difference is less mysterious when the size of the strand is considered. Bending places one side in tension and the other in compression; a small diameter reduces the distance over which that difference develops. Drawing softened glass into fine fibers therefore produces a material with possibilities quite unlike those of a thick sheet. Producing a strand is only the beginning. A manufacturer must control its thickness, handle its surface, and combine many strands without introducing damage. A fabric that looks smooth may still have exposed ends that make it unsuitable for direct contact with skin. The intended use matters as much as the attractive appearance. Glass fibers can be valuable precisely because they are not ordinary textile fibers, but that same difference makes a sweeping promise of universal replacement difficult to defend.",glass-fibers,train,1,
historical-volcanoes,"Late advices from the Sandwich Islands describe the eruption of Mauna Loa, which began Nov. 5, as one of the grandest ever witnessed. The opening was about six miles from the summit of the mountain, and already two great streams of lava had been poured out; one of them, from one to two yards wide and twenty feet deep, had reached a distance of thirty miles. Terrible explosions accompany the flow of the lava stream, which for a time threatened the town of Hilo; at last reports the flow seemed to be turning in another direction. Mauna Loa, ""long or high mountain"" occupies a large portion of the central and southern part of the island of Hawaii, and reaches an elevation of 13,760 feet. It has been built up by lavas thrown out in a highly fluid state, and flowing long distances before cooling; as a consequence the slopes of the mountain are very gentle, averaging, according to Prof. Dana, not more than six and a half degrees.",volcanoes,train,0,
generated-volcanoes,"The outline of a volcano records repeated episodes of construction. At a broad shield volcano, relatively fluid lava can travel away from an opening before cooling, adding another thin layer across an already extensive slope. A steep cone tells a different story about the materials and processes that built it. Shape is evidence, although it cannot by itself predict the next eruption. During an active episode, the location of a new vent may matter more to nearby communities than the height of the summit. A flow follows the available terrain, and a modest change in its route can alter which roads or buildings lie in its path. Observers therefore need measurements over time rather than a single dramatic photograph. Describing a fountain as spectacular conveys the experience of seeing it. Mapping the advancing edge, documenting uncertainties, and comparing successive observations provide a more useful basis for understanding what the eruption is doing.",volcanoes,train,1,
historical-air-engines,"A valuable improvement in compressed air engines has recently been patented in this country and in Europe by Col. F. E. B. Beaumont, of the Royal Engineers, and we learn from accounts given in the London and provincial papers that it has proved highly efficient and satisfactory. The engine possesses some peculiar features which render it very economical in the use of compressed air. It has two cylinders, one being much larger than the other. Into the smaller of these cylinders the compressed air is taken directly from the reservoir, and after doing its work there it is discharged into the larger cylinder, where it is further expanded, being finally discharged into the open air. The admission of air to the smaller cylinder is regulated by an adjustable cut-off apparatus, which admits of maintaining a uniform power under a variable pressure.",air-engines,train,0,
generated-air-engines,"A compressed-air engine transfers stored pressure into mechanical work as air enters a cylinder and expands against a piston. One design choice is whether to complete that expansion in a single cylinder or divide it between stages. In a staged arrangement, air leaving the first cylinder can enter a larger second cylinder instead of being discharged immediately. The geometry and valve timing determine how much useful work each stage contributes. Reservoir pressure does not remain fixed during operation. Admission must therefore be controlled if the output is to remain reasonably steady as the supply falls. That adjustment is an operating problem, not simply a matter of fitting a larger tank. The absence of a local combustion exhaust may make such an engine attractive in particular surroundings, but a fair efficiency comparison must also account for the energy used to compress the air and for losses during storage, transfer, and expansion.",air-engines,train,1,
