domain,group_id,label,text,words,split
medicine,medicine:537,0,"Dear Friend, Levipil I s a new drug with not many side effects in long term.Lobazam can have few side effects like sedation dependency and when stopped can cause sleeplessnes . ThID MEDICATION I THINK IS aspirin or clopivas with atorva statin. Thir medication prevents further attacks but life style changes are also must to prevent further attacks. These medications are generally life long Regards  RegardsDr. Vineet Saggar (MCh)Neuro Surgeon / Spinal SurgeonChandigarh, Mohali -Ivy Hospital Sector 71Mob. No.:- +91-9855990990http://neurosergeonheadhttps://twitter.com/drvineetsaggar",80,train
medicine,medicine:537,1,"TIA, or transient ischemic attack, is a type of stroke that is caused by a temporary disruption in blood flow to the brain. It typically resolves on its own within a few minutes or hours, but it can be a warning sign of an impending stroke, so it is important to seek medical attention and follow the recommended treatment plan.

The medications that your father has been prescribed are typically used to treat stroke and TIA. Levipil (also known as levetiracetam) is an antiepileptic medication that is used to prevent seizures. Lobazam (also known as clobazam) is a benzodiazepine that is used to treat anxiety and seizures. Statorasp (also known as atorvastatin) is a cholesterol-lowering medication that is used to reduce the risk of heart attack and stroke.

It is not possible to predict with certainty whether your father will experience future attacks or whether the medication will be able to prevent them. However, following the treatment plan recommended by the doctor, including taking the medications as directed, can help to reduce the risk of future TIA or stroke. It is important to discuss any concerns about the long-term use of these medications with the doctor, as well as any potential side effects. The doctor will be able to provide more specific guidance about the length of time that the medications should be taken.",224,train
medicine,medicine:161,0,"Hi,Thanks for the query. Poly cystic ovary disease is becoming a common problem nowadays. It occurs due to hormonal imbalance. Usually insulin sensitizers are hormonal pills are used to treat the problem. But combined hormonal pills usually prevent the pregnancy. And also PCOD can recur. So lifestyle modifications, maintaining ideal body weight etc are important in treating PCOD. You can use the apcod sachets and other drugs recommend by your doctor. They won't prevent pregnancy and also ovashield helps in ovulation induction. Let your husband undergo seminal analysis once to rule out the male factor problem. Then you can go for follicular study and can plan intercourse around the time of ovulation. This will increase the possibility of pregnancy. Take care.",121,train
medicine,medicine:161,1,"I'm sorry to hear that you've been struggling with PCOS and trying to conceive for so long. It can be frustrating and emotionally difficult to deal with fertility issues, and I understand that you are looking for a solution to your problem.

PCOS (polycystic ovary syndrome) is a common hormonal disorder that can affect fertility. It is characterized by high levels of androgens (male hormones) and irregular or absent menstrual periods. Some of the common symptoms of PCOS include irregular periods, excess facial and body hair, acne, weight gain, and difficulty getting pregnant.

There are several treatment options available for PCOS, including medication, lifestyle changes, and assisted reproductive techniques. The most appropriate treatment option for you will depend on your specific symptoms and fertility goals.

Medications used to treat PCOS include birth control pills to regulate menstrual periods, insulin-sensitizing agents to improve insulin resistance, and fertility drugs to stimulate ovulation. Your doctor may also recommend lifestyle changes such as weight loss, regular exercise, and a healthy diet to help manage your PCOS symptoms and improve fertility.

In some cases, assisted reproductive techniques such as in vitro fertilization (IVF) may be necessary to help you conceive. It's important to discuss all of your treatment options with your doctor and to be open and honest about your fertility goals. Your doctor can help you determine the best course of treatment for your individual situation.

It's also important to remember that fertility can be affected by a variety of factors, and it's possible to become pregnant even if you have PCOS. Keep in mind that it can take time to conceive, and it's important to be patient and to take care of yourself physically and emotionally during this process. If you are having trouble conceiving after trying for a year or more, or if you have any concerns about your fertility, it's a good idea to speak with your doctor for further evaluation and guidance.",322,train
finance,finance:2374,0,"From what I have read from O'Neil to Van Tharp, etc, etc, no one can pick winners more than 75% of the time regardless of the system they use and most traders consider themselves successful if 60% of the trades are winners and 40% are losers.  So I am on the side that the chart is only a reflection of the past and cannot tell you reliably what will happen in the future. It is difficult to realize this but here is a simple way for you to realize it. If you look at a daily chart and let's say it is 9:30 am at the open and you ask a person to look at the technical indicators, look at the fundamentals and decide the direction of the market by drawing the graph, just for the next hour. He will realize in just a few seconds that he will say to him or her self ""How on earth do you expect me to be able to do that?""  He will realize very quickly that it is impossible to tell the direction of the market and he realizes it would be foolhardy to even try. Because Mickey Mantle hit over 250 every year of his career for the first 15 years it would be a prudent bet to bet that he could do it again over the span of a season, but you would be a fool to try to  guess if the next pitch would be a ball or a strike. You would be correct about 50% of the time and wrong about 50% of the time. You can rely on LARGER PATTERNS OF BEHAVIOR OVER YEARS, but short hourly or even minute by minute prediction is foolish. That is why to be a trader you have to keep on trading and if you keep on trading and cut your losses to 1/2 of your wins you will eventually have a wonderful profit.  But you have to limit your risk on any one trade to 1% of your portfolio.  In that way you will be able to trade at least 100 times.  do the math.  trade a hundred times.  lose 5% and the next bet gain 10%.  Keep on doing it. You will have losses sometimes of 3 or 4 in a row and also wins sometimes of 3 or 4 in a row but overall if you keep on trading even the best traders are generally only ""right"" 60% of the time.  So lets do the math. If you took 100 dollars and make 100 trades and the first trade you made 10% and reinvested the total and the second trade you lost 5% of that and continue that win/loss sequence for 100 trades you would have 1284 dollars minus commissions. That is a 1200% return in one hundred trades.  If you do it in a roth IRA you pay no taxes on the short term gains.  It is not difficult to realize that the stock market DOES TREND. And the easiest way to make 10% quickly is to in general trade 3x leveraged funds or stocks that have at least 3 beta from the general index.  Take any trend up and count the number of days the stock is up and it is usually 66-75% and take any down trend and it is down 66-75% of the days.  So if you bet on the the beginning of a day when the stock was up and if you buy the next day about 66-75% of the time the stock will also be up. So the idea is to realize that 1/3 of the time at least you will cut your losses but 2/3 of the time you will be up then next day as well.  So keep holding the position based on the low of the previous day and as the stock rises to your trend line then tighten the stock to the low of the same day or just take your profit and buy something else.  But losing 1/3 times is just part of ""the unpredictable"" nature of the stock market which is causes simply because there are three types of traders all betting at the same time on the same stock.  Day traders who are trading from 1 to 10 times a day, swing traders trading from 1 day to several weeks and buy and hold investors holding out for long term capital gains. They each have different price targets and time horizons and THAT DIFFERENCE is what makes the market move.  ONE PERSON'S SHORT TERM EXIT PRICE AT A PROFIT IS ANOTHER PERSONS LONG TERM ENTRY POINT and because so many are playing at the same time with different time horizons, stop losses and exit targets it is impossible to draw the price action or volume.  But it is possible to cut your losses and ride your winners and if you keep on doing that you have a very fine return indeed.",826,train
finance,finance:2374,1,"Candlestick charts are a popular technical analysis tool that can be useful in timing the markets. Candlestick charts display the high, low, open, and close prices of a security or currency over a given time period, and they use a series of patterns to depict the price action. These patterns can provide insights into the market sentiment and help traders identify potential buying or selling opportunities. However, it is important to note that candlestick charts should not be used in isolation, and it is always a good idea to consider other factors such as economic and fundamental data when making trading decisions. It is also important to remember that past performance is not necessarily indicative of future results, and trading involves risks.",122,train
finance,finance:102,0,"Suppose you're writing a put with a strike price of 80. Say the share's(underlying asset) price goes down to 70. So the holder of the put will exercise the option. Ie he has a 'right to sell' a share worth 70 for rs 80. Whereas a put option writer has an 'obligation to buy' at rs 80 a share trading at rs 70. Always think from the perspective of the holder. If the holder exercises the option, the writer will suffer a loss. Maximum loss he suffers will be the break even FSP, which is Strike price reduced by the premium paid.. If he doesn't exercise the option the writer will make a profit, which can maximum be the put premium received.",122,train
finance,finance:102,1,"Writing a put option means selling a put option to another party. When you write a put option, you are agreeing to sell a stock at a certain price (the ""strike price"") on or before a certain date (the ""expiration date""). The party who buys the put option has the right, but not the obligation, to sell the stock to you at the strike price on or before the expiration date.As the seller of the put option, you are taking on the obligation to buy the stock at the strike price if the buyer exercises their right to sell the stock to you. In exchange for taking on this obligation, you receive a payment (the ""option premium"") from the buyer of the put option.Writing put options is a way to generate income and potentially profit from the underlying stock remaining unchanged or increasing in price. However, if the stock price falls below the strike price before the expiration date, you could be required to buy the stock at the higher strike price, potentially resulting in a loss.",177,train
finance,finance:2953,0,"I recommend you take a look at this lecture (really, the whole series is enlightening), from Swenson. He identifies 3 sources of returns: diversification, timing and selection. He appears to discard timing and selection as impossible. A student kinda calls him out on this. Diversification reduces risk, not increase returns. It turns out they did time the market, by shorting .com's before the bubble, and real estate just before the downturn. In 1990, Yale started a ""Absolute Return"" unit and allocated like 15 percent to it, mostly by selling US equities, that specializes in these sorts of hedging moves. As for why you might employ managers for specific areas, consider that the expense ratio Wall Street charges you or me still represent a very nice salary when applied to the billions in Yale's portfolio. So they hire internally to reduce expenses, and I'm sure they're kept busy. They also need people to sell off assets to maintain ratios, and figuring out which ones to sell might take specialized knowledge. Finally, in some areas, you functionally cannot invest without management. For example, Yale has a substantial allocation in private equity, and by definition that doesn't trade on the open market. The other thing you should consider is that for all its diversification, Yale lost 25 percent of their portfolio in 2009. For a technique that's supposed to reduce volatility, they seem to have a large range of returns over the past five years.",242,train
finance,finance:2953,1,"The asset allocation paradox refers to the idea that the optimal asset allocation for an investor may depend on their individual circumstances and goals, rather than a one-size-fits-all approach. This can create a paradox because, on the one hand, diversification is generally considered to be a key principle of investing, and many investors are advised to allocate their assets across a variety of different asset classes in order to spread risk and potentially increase returns. However, on the other hand, the specific mix of asset classes that is optimal for an individual investor may depend on factors such as their risk tolerance, time horizon, and financial goals, which can vary significantly from one person to another. As a result, it can be difficult to determine the best asset allocation strategy for a particular investor, and it may be necessary to customize the asset mix to fit the individual's specific needs and circumstances.",152,train
